GroupID	RAT_ID	Surgery	Time	BVTV	BSBV	TbTh	TbSp	TbN	TbPf	FD	ConnD	vBMD
Time0	R4119	Time-0	0W	31.42302462	32.35795765	0.10417482	0.27281345	3.0163743	3.03331878	2.53154647	86.05078764	0.4686736
Time0	R4219	Time-0	0W	33.47277425	30.25996792	0.11077642	0.27745538	3.02165159	2.38862858	2.53728042	82.69326291	0.4981525
Time0	R5719	Time-0	0W	44.73817749	26.99769764	0.1199483	0.2158498	3.72978824	-1.12594445	2.55270979	107.7024479	0.6091838
Time0	R5819	Time-0	0W	34.20841626	32.21840039	0.10353294	0.26683066	3.30410955	1.87311105	2.54575326	103.236408	0.4986624
Time0	R2619	Time-0	0W	33.89834199	33.634889	0.10068451	0.24949401	3.36678805	3.09830727	2.53138459	122.5595491	0.5029003
SCI1	R1019	SCI	1W	33.30739711	30.22643429	0.11218088	0.26734208	2.96907955	2.75181003	2.53387254	82.42473574	0.4966415
SCI1	R2119	SCI	1W	39.09589537	32.90851988	0.10009931	0.20714271	3.90571081	0.88442685	2.57525369	146.1691721	0.5556717
SCI1	R2819	SCI	1W	38.18667124	30.2655163	0.10877506	0.22906912	3.51060892	1.00503557	2.56984663	102.6736358	0.5442581
SCI1	R3719	SCI	1W	35.0508791	28.96430753	0.11671288	0.27547722	3.00317148	1.8519139	2.53162635	80.9047056	0.5127504
SCI1	R3819	SCI	1W	36.21817486	31.99995068	0.10360911	0.23318535	3.4956553	2.12068761	2.55405768	109.8696449	0.5281174
SCI1	R4619	SCI	1W	36.61420678	31.57243368	0.10614165	0.23140578	3.44956081	2.13532563	2.55772112	112.8178039	0.5302901
SCI1	R5119	SCI	1W	30.09866392	33.9177136	0.1006959	0.28159244	2.98906545	3.97432176	2.53970171	92.989705	0.462024
SHAM1	R1619	SHAM	1W	35.07615746	31.25809599	0.10734035	0.24396829	3.26775146	2.36442566	2.5346096	101.3003805	0.5090652
SHAM1	R1719	SHAM	1W	37.08618667	34.31430287	0.1027171	0.206922	3.6105173	3.24468529	2.57114827	167.0268987	0.5405131
SHAM1	R3119	SHAM	1W	35.53730346	31.83902656	0.10349734	0.23930946	3.43364424	2.20584568	2.55510194	97.90425942	0.5190261
SHAM1	R3219	SHAM	1W	37.69066924	28.12447675	0.11951569	0.24897069	3.15361677	2.26796796	2.53594424	82.7651005	0.5378999
SHAM1	R4719	SHAM	1W	40.39998636	30.44586549	0.10826846	0.21643972	3.73146406	0.88021673	2.56937785	123.8213203	0.5798984
SHAM1	R4819	SHAM	1W	36.88207782	31.92363099	0.10260334	0.23513365	3.59462757	1.49802477	2.56709938	121.8118339	0.528978
SCI2	R0719	SCI	2W	37.37076328	32.60607536	0.10172339	0.21114657	3.67376295	1.75535642	2.57657176	128.1959185	0.5399392
